-2.352658,24.8748,0.8042648;-0.07256687,0.9972613,-0.01428325;9
-2.357675,24.87432,0.8042738;-0.07276864,0.9972466,-0.01428306;9.01999950408936
-2.362692,24.87385,0.8042827;-0.07297007,0.9972318,-0.01428265;9.03999996185303
-2.367708,24.87337,0.8042914;-0.07317182,0.9972171,-0.01428247;9.05999946594238
-2.372725,24.87289,0.8043;-0.07337342,0.9972023,-0.01428208;9.07999992370605
-2.377741,24.87241,0.8043084;-0.073575,0.9971874,-0.01428187;9.09999942779541
-2.382757,24.87193,0.8043167;-0.07377657,0.9971725,-0.01428166;9.11999988555908
-2.387772,24.87145,0.8043249;-0.07397833,0.9971576,-0.01428129;9.13999938964844
-2.392788,24.87097,0.8043329;-0.0741797,0.9971426,-0.01428106;9.15999984741211
-2.397803,24.87049,0.8043408;-0.07438146,0.9971276,-0.01428087;9.17999935150146
-2.402818,24.87,0.8043486;-0.07458282,0.9971126,-0.01428064;9.19999980926514
-2.407832,24.86952,0.8043563;-0.07478454,0.9970974,-0.01428045;9.22000026702881
-2.412847,24.86903,0.8043639;-0.07498593,0.9970824,-0.01428003;9.23999977111816
-2.417861,24.86855,0.8043714;-0.07518768,0.9970672,-0.01427984;9.26000022888184
-2.422875,24.86806,0.8043787;-0.07538901,0.997052,-0.01427961;9.27999973297119
-2.427889,24.86757,0.8043859;-0.07559073,0.9970367,-0.01427942;9.30000019073486
-2.432902,24.86708,0.804393;-0.07579207,0.9970214,-0.01427918;9.31999969482422
-2.437915,24.86659,0.8044;-0.07599362,0.9970061,-0.01427897;9.34000015258789
-2.442928,24.8661,0.8044069;-0.07619514,0.9969907,-0.01427875;9.35999965667725
-2.447941,24.8656,0.8044137;-0.07639666,0.9969752,-0.01427854;9.38000011444092
-2.452954,24.86511,0.8044204;-0.076598,0.9969598,-0.0142783;9.39999961853027
-2.457966,24.86461,0.804427;-0.07679948,0.9969443,-0.01427827;9.42000007629395
-2.462977,24.86412,0.8044335;-0.07700101,0.9969288,-0.01427805;9.4399995803833
-2.467989,24.86362,0.8044398;-0.07720234,0.9969132,-0.01427781;9.46000003814697
-2.473,24.86312,0.8044461;-0.07740384,0.9968976,-0.0142776;9.47999954223633
-2.478011,24.86262,0.8044522;-0.07760534,0.9968819,-0.01427738;9.5
-2.483022,24.86212,0.8044583;-0.07780664,0.9968662,-0.01427732;9.51999950408936
-2.488033,24.86162,0.8044642;-0.07800815,0.9968505,-0.0142771;9.53999996185303
-2.493043,24.86112,0.8044701;-0.07820945,0.9968347,-0.01427686;9.55999946594238
-2.498053,24.86061,0.8044758;-0.07841092,0.9968189,-0.01427682;9.57999992370605
-2.503063,24.86011,0.8044815;-0.07861225,0.996803,-0.01427659;9.59999942779541
-2.508073,24.85961,0.8044871;-0.07881352,0.9967871,-0.01427653;9.61999988555908
-2.513082,24.8591,0.8044926;-0.079015,0.9967712,-0.0142763;9.63999938964844
-2.518091,24.85859,0.804498;-0.0792163,0.9967552,-0.01427606;9.65999984741211
-2.5231,24.85809,0.8045033;-0.07941776,0.9967392,-0.01427602;9.67999935150146
-2.528109,24.85758,0.8045086;-0.07961902,0.9967231,-0.01427596;9.69999980926514
-2.533118,24.85707,0.8045137;-0.07982031,0.996707,-0.01427571;9.71999931335449
-2.538126,24.85656,0.8045188;-0.08002158,0.9966909,-0.01427565;9.73999977111816
-2.543134,24.85604,0.8045238;-0.08022305,0.9966747,-0.01427542;9.76000022888184
-2.548141,24.85553,0.8045288;-0.08042429,0.9966585,-0.01427536;9.77999973297119
-2.553149,24.85502,0.8045337;-0.08062555,0.9966422,-0.01427529;9.80000019073486
-2.558156,24.8545,0.8045384;-0.08082681,0.996626,-0.01427504;9.81999969482422
-2.563163,24.85399,0.8045432;-0.08102806,0.9966096,-0.01427498;9.84000015258789
-2.56817,24.85347,0.8045478;-0.08122931,0.9965932,-0.01427473;9.85999965667725
-2.573177,24.85295,0.8045524;-0.08143053,0.9965768,-0.01427484;9.88000011444092
-2.578183,24.85243,0.804557;-0.08163198,0.9965603,-0.01427461;9.89999961853027
-2.583189,24.85191,0.8045614;-0.08183321,0.9965438,-0.01427455;9.92000007629395
-2.588195,24.85139,0.8045657;-0.08203444,0.9965273,-0.01427448;9.9399995803833
-2.5932,24.85087,0.80457;-0.08223568,0.9965107,-0.01427422;9.96000003814697
-2.598206,24.85035,0.8045743;-0.0824369,0.9964941,-0.01427415;9.97999954223633
-2.603211,24.84982,0.8045784;-0.08263811,0.9964774,-0.01427408;10
-2.608216,24.8493,0.8045824;-0.08283933,0.9964607,-0.01427401;10.0199995040894
-2.61322,24.84877,0.8045864;-0.08304052,0.9964439,-0.01427394;10.039999961853
-2.618225,24.84824,0.8045903;-0.08324173,0.9964272,-0.01427387;10.0599994659424
-2.623229,24.84772,0.8045942;-0.08344293,0.9964103,-0.01427379;10.0799999237061
-2.628233,24.84719,0.804598;-0.08364415,0.9963934,-0.01427353;10.0999994277954
-2.633236,24.84666,0.8046018;-0.08384513,0.9963766,-0.01427362;10.1199998855591
-2.638239,24.84613,0.8046055;-0.08404633,0.9963596,-0.01427355;10.1399993896484
-2.643242,24.84559,0.8046091;-0.08424754,0.9963426,-0.01427348;10.1599998474121
-2.648245,24.84506,0.8046127;-0.08444855,0.9963256,-0.01427338;10.1799993515015
-2.653248,24.84453,0.8046163;-0.08464975,0.9963085,-0.01427331;10.1999998092651
-2.65825,24.84399,0.8046197;-0.08485074,0.9962915,-0.01427321;10.2199993133545
-2.663252,24.84346,0.8046232;-0.08505192,0.9962743,-0.01427313;10.2399997711182
-2.668254,24.84292,0.8046266;-0.0852529,0.9962571,-0.01427303;10.2600002288818
-2.673255,24.84238,0.8046299;-0.08545406,0.9962399,-0.01427295;10.2799997329712
-2.678257,24.84185,0.8046332;-0.08565502,0.9962226,-0.01427303;10.3000001907349
-2.683258,24.84131,0.8046364;-0.0858562,0.9962053,-0.01427277;10.3199996948242
-2.688258,24.84077,0.8046396;-0.08605714,0.996188,-0.01427285;10.3400001525879
-2.693259,24.84023,0.8046428;-0.0862583,0.9961706,-0.01427277;10.3599996566772
-2.698259,24.83968,0.8046459;-0.08645925,0.9961531,-0.01427266;10.3800001144409
-2.703259,24.83914,0.804649;-0.08666022,0.9961357,-0.01427256;10.3999996185303
-2.708259,24.83859,0.804652;-0.08686133,0.9961182,-0.01427266;10.4200000762939
-2.713259,24.83805,0.804655;-0.08706228,0.9961006,-0.01427255;10.4399995803833
-2.718258,24.8375,0.8046579;-0.08726323,0.996083,-0.01427245;10.460000038147
-2.723258,24.83695,0.8046608;-0.08746437,0.9960654,-0.01427236;10.4799995422363
-2.728256,24.8364,0.8046636;-0.0876651,0.9960477,-0.01427242;10.5
-2.733255,24.83585,0.8046664;-0.08786623,0.99603,-0.01427233;10.5199995040894
-2.738253,24.8353,0.8046691;-0.08806714,0.9960123,-0.01427222;10.539999961853
-2.743251,24.83475,0.8046718;-0.08826805,0.9959945,-0.01427229;10.5599994659424
-2.748249,24.8342,0.8046744;-0.08846898,0.9959767,-0.01427218;10.5799999237061
-2.753246,24.83364,0.8046771;-0.0886699,0.9959588,-0.01427207;10.5999994277954
-2.758243,24.83309,0.8046796;-0.08887079,0.9959409,-0.01427215;10.6199998855591
-2.76324,24.83253,0.8046822;-0.08907171,0.995923,-0.01427203;10.6399993896484
-2.768237,24.83198,0.8046847;-0.0892726,0.995905,-0.01427211;10.6599998474121
-2.773234,24.83142,0.8046871;-0.08947349,0.9958869,-0.014272;10.6799993515015
-2.77823,24.83086,0.8046895;-0.08967441,0.9958689,-0.01427188;10.6999998092651
-2.783226,24.8303,0.8046919;-0.08987527,0.9958507,-0.01427195;10.7199993133545
-2.788222,24.82974,0.8046942;-0.09007616,0.9958326,-0.01427184;10.7399997711182
-2.793217,24.82918,0.8046966;-0.09027702,0.9958144,-0.0142719;10.7600002288818
-2.798213,24.82862,0.8046988;-0.09047792,0.9957962,-0.01427179;10.7799997329712
-2.803207,24.82806,0.8047011;-0.0906786,0.995778,-0.01427184;10.8000001907349
-2.808202,24.82749,0.8047033;-0.09087948,0.9957596,-0.01427172;10.8199996948242
-2.813196,24.82693,0.8047055;-0.09108032,0.9957412,-0.01427179;10.8400001525879
-2.818191,24.82636,0.8047076;-0.09128098,0.9957229,-0.01427183;10.8599996566772
-2.823184,24.82579,0.8047098;-0.09148204,0.9957045,-0.01427173;10.8800001144409
-2.828178,24.82523,0.8047119;-0.09168252,0.995686,-0.01427175;10.8999996185303
-2.833172,24.82466,0.804714;-0.09188357,0.9956675,-0.01427166;10.9200000762939
-2.838165,24.82409,0.8047161;-0.09208422,0.9956489,-0.0142717;10.9399995803833
-2.843158,24.82351,0.8047181;-0.09228487,0.9956304,-0.01427174;10.960000038147
-2.84815,24.82294,0.8047201;-0.09248572,0.9956117,-0.01427162;10.9799995422363
-2.853143,24.82237,0.8047221;-0.09268653,0.9955931,-0.01427168;11
-2.858135,24.82179,0.804724;-0.09288718,0.9955744,-0.01427154;11.0199995040894
-2.863127,24.82122,0.8047259;-0.09308797,0.9955556,-0.0142716;11.039999961853
-2.868119,24.82064,0.8047277;-0.0932886,0.9955368,-0.01427164;11.0599994659424
